1,1
1,2
1,3
1,5
1,6
2,1
2,2
2,3
2,5
2,6
2,7
2,9
3,1
3,2
3,3
3,5
4,1
4,2
4,3
4,5
5,1
5,2
5,3
5,5
5,7
5,9
6,2
6,3
6,4
6,5
6,7
6,8
6,9
6,10
6,11
7,1
7,2
7,3
7,5
8,1
8,2
8,3
8,5
8,6
8,10
8,11
9,1
9,2
9,3
9,5
9,6
9,7
9,9
10,2
10,3
10,5
11,1
11,2
11,3
11,4
11,5
11,7
11,9
11,10
12,1
12,2
12,3
12,5
13,1
13,2
13,3
13,5
14,1
14,2
14,3
14,9
15,1
15,2
15,3
15,5
15,6
15,7
15,9
16,1
16,2
16,4
16,5
16,7
16,9
16,10
17,1
17,2
17,3
17,5
17,7
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,9
18,10
19,1
19,2
19,3
19,5
19,6
19,7
19,9
20,1
20,3
20,4
20,5
20,7
20,9
21,1
21,2
21,3
21,5
21,7
22,1
22,2
22,3
22,5
22,6
22,7
22,9
23,2
23,3
23,4
23,5
23,7
23,9
23,10
24,2
24,3
24,4
24,5
24,7
24,9
24,10
24,11
25,1
25,2
25,3
25,5
25,6
25,7
25,9
26,1
26,2
26,3
26,5
26,6
26,7
26,9
